2020-05-09 13:21:36,368 | INFO | ulauncher: main() | Ulauncher version 5.7.5
2020-05-09 13:21:36,420 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,420 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2020-05-09 13:21:36,420 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2020-05-09 13:21:36,420 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2020-05-09 13:21:36,422 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2020-05-09 13:21:36,423 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.nortmas.chrome-bookmarks" started. PID 1886
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2020-05-09 13:21:36,423 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2020-05-09 13:21:36,425 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2020-05-09 13:21:36,425 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2020-05-09 13:21:36,425 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2020-05-09 13:21:36,425 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2020-05-09 13:21:36,425 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2020-05-09 13:21:36,426 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2020-05-09 13:21:36,427 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.brpaz.ulauncher-currency" started. PID 1888
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2020-05-09 13:21:36,427 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2020-05-09 13:21:36,430 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2020-05-09 13:21:36,431 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2020-05-09 13:21:36,432 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2020-05-09 13:21:36,434 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2020-05-09 13:21:36,435 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2020-05-09 13:21:36,436 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
